domain,schdomain,ukdomain,county,urns
braybrookprimary.co.uk,0,1,,{110735}
brayford.devon.sch.uk,1,1,devon,{141761}
brayford.ik.org,0,0,,{113153}
brays.bham.sch.uk,1,1,bham,"{144042,103618}"
braysgrove.essex.sch.uk,1,1,essex,{115217}
braytonacademy.org.uk,0,1,,{143138}
braytonhigh.org.uk,0,1,,{121701}
braytonjunior.co.uk,0,1,,{121434}
brayton-primary.co.uk,0,1,,{121554}
braywickcourtschool.co.uk,0,1,,{140494}
braywood-ce.eschools.co.uk,0,1,,{109952}
brdmedoi.bham.sch.uk,1,1,bham,{103288}
breachwoodgreen.herts.sch.uk,1,1,herts,{117119}
breadsallprimary.com,0,0,,{112805}
breakspeare.herts.sch.uk,1,1,herts,{117681}
breakspear.hillingdon.sch.uk,1,1,hillingdon,{102369}
breakspear-inf.hillingdon.sch.uk,1,1,hillingdon,{102410}
breamcofeprimary.co.uk,0,1,,{115659}
breamore.hants.sch.uk,1,1,hants,{116275}
breckenbrough.org.uk,0,1,,{121765}
breckland.iesschools.co.uk,0,1,,{138250}
brecknock.camden.sch.uk,1,1,camden,{100010}
breckonhillprimary.co.uk,0,1,,{111587}
breckschool.co.uk,0,1,,{119301}
bredburygreen.stockport.sch.uk,1,1,stockport,{106095}
brede.e-sussex.sch.uk,1,1,e-sussex,{114389}
bredenburyprimary.org.uk,0,1,,{116654}
bredgar.kent.sch.uk,1,1,kent,"{144868,118732}"
bredhurst.kent.sch.uk,1,1,kent,{118619}
bredinghurst.southwark.sch.uk,1,1,southwark,{100874}
bredonhancocks-worcs.co.uk,0,1,,{116868}
bredonschool.org,0,0,,{117032}
bredon.worcs.sch.uk,1,1,worcs,"{143395,116956}"
bremer.org.uk,0,1,,{103094}
brenchleymatfieldprimary.org.uk,0,1,,"{118714,142689}"
brennands.lancs.sch.uk,1,1,lancs,{119474}
brentfield.brent.sch.uk,1,1,brent,{101496}
brentford.hounslow.sch.uk,1,1,hounslow,"{139095,102536}"
brent.kent.sch.uk,1,1,kent,{140592}
brentknollschool.co.uk,0,1,,{100760}
brentnallcommunityprimaryschool.co.uk,0,1,,{105893}
brentryprimaryschool.org.uk,0,1,,{108980}
brentsidehigh.ealing.sch.uk,1,1,ealing,{101939}
brentsideprimaryacademy.co.uk,0,1,,{139488}
brentwoodschool-trafford.co.uk,0,1,,"{106391,142914}"
brenzett.kent.sch.uk,1,1,kent,{118703}
breretonprimaryschool.org.uk,0,1,,"{144832,111332}"
bressingham.norfolk.sch.uk,1,1,norfolk,{120789}
bretfortonfirst.co.uk,0,1,,{116655}
brethertonschool.org.uk,0,1,,{119461}
brettenhamprimaryschool.co.uk,0,1,,{130933}
brewershillmiddle.co.uk,0,1,,{109659}
brewood.staffs.sch.uk,1,1,staffs,{124452}
brewsteravenueinfants.co.uk,0,1,,{110722}
brgs.org.uk,0,1,,"{138835,119809}"
briarhillprimary.co.uk,0,1,,"{138917,121941}"
briarhillstmargarets.co.uk,0,1,,{125563}
briarwood.bristol.sch.uk,1,1,bristol,{109410}
briary.kent.sch.uk,1,1,kent,{118520}
brickhilllowerschool.co.uk,0,1,,{109503}
brickhouse.sandwell.sch.uk,1,1,sandwell,{103936}
bricklehurst.co.uk,0,1,,{114644}
bricknellschool.co.uk,0,1,,"{140235,117717}"
bridekirkdovenby.cumbria.sch.uk,1,1,cumbria,{112270}
bridestowe-primary.devon.sch.uk,1,1,devon,{113248}
bridge4learning.org,0,0,,{135749}
bridgeacademy.hackney.sch.uk,1,1,hackney,{131609}
bridgefarm-pri.bristol.sch.uk,1,1,bristol,{132161}
bridge.kent.sch.uk,1,1,kent,{118654}
bridgeleapru.manchester.sch.uk,1,1,manchester,{133945}
bridgelearningcampus.org.uk,0,1,,"{109286,139049}"
bridge.leicester.sch.uk,1,1,leicester,{119999}
bridgemary.hants.sch.uk,1,1,hants,{116471}
bridgemary-tkat.org,0,0,,{138437}
bridgemereschool.co.uk,0,1,,{111343}
bridgerule.devon.sch.uk,1,1,devon,{113373}
bridges.newcastle.sch.uk,1,1,newcastle,{133714}
bridgespecialschool.co.uk,0,1,,"{103624,144043}"
bridgetown.warwickshire.sch.uk,1,1,warwickshire,{125526}
bridgewater.herts.sch.uk,1,1,herts,{117541}
